pop1,pop2,death,Age,Sex,year1,year2
1388350,1963660,88248,0,f,1997,2007
1113675,1615244,11424,5,f,1997,2007
878429,1183939,5677,10,f,1997,2007
854078,991323,6123,15,f,1997,2007
827614,986526,7280,20,f,1997,2007
654465,841416,7212,25,f,1997,2007
477562,667865,6426,30,f,1997,2007
428395,556191,5419,35,f,1997,2007
303147,389087,4385,40,f,1997,2007
282098,328660,3765,45,f,1997,2007
212060,283288,3988,50,f,1997,2007
174234,208657,2566,55,f,1997,2007
125096,159557,3686,60,f,1997,2007
109288,127794,2536,65,f,1997,2007
50607,81329,2575,70,f,1997,2007
42858,61012,1710,75,f,1997,2007
35430,59985,3624,80,f,1997,2007
1353206,1917794,101150,0,m,1997,2007
1112321,1587302,12837,5,m,1997,2007
947236,1222668,6381,10,m,1997,2007
774327,925729,5227,15,m,1997,2007
637113,774413,5506,20,m,1997,2007
509109,707603,6356,25,m,1997,2007
410148,583689,6776,30,m,1997,2007
373813,481396,6292,35,m,1997,2007
270046,366518,5890,40,m,1997,2007
257070,321236,5328,45,m,1997,2007
178902,231232,5317,50,m,1997,2007
162122,194011,3785,55,m,1997,2007
114335,140146,4799,60,m,1997,2007
100425,113840,3265,65,m,1997,2007
47407,72288,3486,70,m,1997,2007
41529,55448,2276,75,m,1997,2007
31839,51377,3893,80,m,1997,2007
